Response,Submitted on,Kritik dan saran,Sentimen,tanggal,jam,hari,normalisasi,case_folding,tokenizing,filtering,stemming,clean_review,Sentimen_Biner
336956,2025-09-20 09:57:00,Perbaiki server spmb,positif,2025-09-20,9,Saturday,Perbaiki server spmb,perbaiki server spmb,"['perbaiki', 'server', 'spmb']","['perbaiki', 'server', 'spmb']","['baik', 'server', 'spmb']",baik server spmb,1
294458,2025-09-15 23:43:00,"Tidak ada, pokoknya mantap buat unpam  unpam jaya jaya jaya",positif,2025-09-15,23,Monday,"Tidak ada, pokoknya mantap buat unpam unpam jaya jaya jaya",tidak ada pokoknya mantap buat unpam unpam jaya jaya jaya,"['tidak', 'ada', 'pokoknya', 'mantap', 'buat', 'unpam', 'unpam', 'jaya', 'jaya', 'jaya']","['tidak', 'pokoknya', 'mantap', 'buat', 'unpam', 'unpam', 'jaya', 'jaya', 'jaya']","['tidak', 'pokok', 'mantap', 'buat', 'unpam', 'unpam', 'jaya', 'jaya', 'jaya']",tidak pokok mantap buat unpam unpam jaya jaya jaya,1
300466,2025-09-16 21:36:00,Sangat Baik,positif,2025-09-16,21,Tuesday,Sangat Baik,sangat baik,"['sangat', 'baik']","['sangat', 'baik']","['sangat', 'baik']",sangat baik,1
342980,2025-09-20 21:08:00,semoga kedepannya lebih baik dan terus berkembang,positif,2025-09-20,21,Saturday,semoga kedepannya lebih baik dan terus berkembang,semoga kedepannya lebih baik dan terus berkembang,"['semoga', 'kedepannya', 'lebih', 'baik', 'dan', 'terus', 'berkembang']","['semoga', 'kedepannya', 'lebih', 'baik', 'terus', 'berkembang']","['moga', 'depan', 'lebih', 'baik', 'terus', 'kembang']",moga depan lebih baik terus kembang,1
321526,2025-09-19 12:56:00,"Saya merasa kegiatan PKKMB UNPAM 2025 sangat bermanfaat karena membantu saya mengenal lingkungan kampus, dosen, dan berbagai fasilitas yang tersedia. Materi yang diberikan juga menarik serta relevan dengan kebutuhan mahasiswa baru, khususnya dalam memberikan motivasi untuk berprestasi dan aktif berorganisasi. Panitia dan kakak pendamping ramah serta komunikatif dalam membimbing peserta, sehingga suasana kegiatan terasa menyenangkan dan penuh semangat. Jadwal kegiatan tersusun dengan baik, diselingi ice breaking dan aktivitas kreatif yang membuat kami tidak cepat bosan. Secara keseluruhan, saya puas dengan pelaksanaan PKKMB tahun ini dan berharap kegiatan seperti ini dapat terus dilaksanakan dengan inovasi yang lebih baik setiap tahunnya.",positif,2025-09-19,12,Friday,"Saya merasa kegiatan PKKMB UNPAM 2025 sangat bermanfaat karena membantu saya mengenal lingkungan kampus, dosen, dan berbagai fasilitas yang tersedia. Materi yang diberikan juga menarik serta relevan dengan kebutuhan mahasiswa baru, khususnya dalam memberikan motivasi untuk berprestasi dan aktif berorganisasi. Panitia dan kakak pendamping ramah serta komunikatif dalam membimbing peserta, sehingga suasana kegiatan terasa menyenangkan dan penuh semangat. Jadwal kegiatan tersusun dengan baik, diselingi ice breaking dan aktivitas kreatif yang membuat kami tidak cepat bosan. Secara keseluruhan, saya puas dengan pelaksanaan PKKMB tahun ini dan berharap kegiatan seperti ini dapat terus dilaksanakan dengan inovasi yang lebih baik setiap tahunnya.",saya merasa kegiatan pkkmb unpam  sangat bermanfaat karena membantu saya mengenal lingkungan kampus dosen dan berbagai fasilitas yang tersedia materi yang diberikan juga menarik serta relevan dengan kebutuhan mahasiswa baru khususnya dalam memberikan motivasi untuk berprestasi dan aktif berorganisasi panitia dan kakak pendamping ramah serta komunikatif dalam membimbing peserta sehingga suasana kegiatan terasa menyenangkan dan penuh semangat jadwal kegiatan tersusun dengan baik diselingi ice breaking dan aktivitas kreatif yang membuat kami tidak cepat bosan secara keseluruhan saya puas dengan pelaksanaan pkkmb tahun ini dan berharap kegiatan seperti ini dapat terus dilaksanakan dengan inovasi yang lebih baik setiap tahunnya,"['saya', 'merasa', 'kegiatan', 'pkkmb', 'unpam', 'sangat', 'bermanfaat', 'karena', 'membantu', 'saya', 'mengenal', 'lingkungan', 'kampus', 'dosen', 'dan', 'berbagai', 'fasilitas', 'yang', 'tersedia', 'materi', 'yang', 'diberikan', 'juga', 'menarik', 'serta', 'relevan', 'dengan', 'kebutuhan', 'mahasiswa', 'baru', 'khususnya', 'dalam', 'memberikan', 'motivasi', 'untuk', 'berprestasi', 'dan', 'aktif', 'berorganisasi', 'panitia', 'dan', 'kakak', 'pendamping', 'ramah', 'serta', 'komunikatif', 'dalam', 'membimbing', 'peserta', 'sehingga', 'suasana', 'kegiatan', 'terasa', 'menyenangkan', 'dan', 'penuh', 'semangat', 'jadwal', 'kegiatan', 'tersusun', 'dengan', 'baik', 'diselingi', 'ice', 'breaking', 'dan', 'aktivitas', 'kreatif', 'yang', 'membuat', 'kami', 'tidak', 'cepat', 'bosan', 'secara', 'keseluruhan', 'saya', 'puas', 'dengan', 'pelaksanaan', 'pkkmb', 'tahun', 'ini', 'dan', 'berharap', 'kegiatan', 'seperti', 'ini', 'dapat', 'terus', 'dilaksanakan', 'dengan', 'inovasi', 'yang', 'lebih', 'baik', 'setiap', 'tahunnya']","['merasa', 'kegiatan', 'pkkmb', 'unpam', 'sangat', 'bermanfaat', 'membantu', 'mengenal', 'lingkungan', 'kampus', 'dosen', 'berbagai', 'fasilitas', 'tersedia', 'materi', 'diberikan', 'menarik', 'relevan', 'kebutuhan', 'mahasiswa', 'baru', 'khususnya', 'memberikan', 'motivasi', 'berprestasi', 'aktif', 'berorganisasi', 'panitia', 'kakak', 'pendamping', 'ramah', 'komunikatif', 'membimbing', 'peserta', 'suasana', 'kegiatan', 'terasa', 'menyenangkan', 'penuh', 'semangat', 'jadwal', 'kegiatan', 'tersusun', 'baik', 'diselingi', 'ice', 'breaking', 'aktivitas', 'kreatif', 'membuat', 'tidak', 'cepat', 'bosan', 'keseluruhan', 'puas', 'pelaksanaan', 'pkkmb', 'tahun', 'berharap', 'kegiatan', 'terus', 'dilaksanakan', 'inovasi', 'lebih', 'baik', 'tahunnya']","['rasa', 'giat', 'pkkmb', 'unpam', 'sangat', 'manfaat', 'bantu', 'kenal', 'lingkung', 'kampus', 'dosen', 'bagai', 'fasilitas', 'sedia', 'materi', 'beri', 'tarik', 'relevan', 'butuh', 'mahasiswa', 'baru', 'khusus', 'beri', 'motivasi', 'prestasi', 'aktif', 'organ', 'panitia', 'kakak', 'damping', 'ramah', 'komunikatif', 'bimbing', 'serta', 'suasana', 'giat', 'asa', 'senang', 'penuh', 'semangat', 'jadwal', 'giat', 'susun', 'baik', 'ling', 'ice', 'breaking', 'aktivitas', 'kreatif', 'buat', 'tidak', 'cepat', 'bosan', 'seluruh', 'puas', 'laksana', 'pkkmb', 'tahun', 'harap', 'giat', 'terus', 'laksana', 'inovasi', 'lebih', 'baik', 'tahun']",rasa giat pkkmb unpam sangat manfaat bantu kenal lingkung kampus dosen bagai fasilitas sedia materi beri tarik relevan butuh mahasiswa baru khusus beri motivasi prestasi aktif organ panitia kakak damping ramah komunikatif bimbing serta suasana giat asa senang penuh semangat jadwal giat susun baik ling ice breaking aktivitas kreatif buat tidak cepat bosan seluruh puas laksana pkkmb tahun harap giat terus laksana inovasi lebih baik tahun,1
284424,2025-09-12 18:47:00,sudah cukup baik,positif,2025-09-12,18,Friday,sudah cukup baik,sudah cukup baik,"['sudah', 'cukup', 'baik']","['cukup', 'baik']","['cukup', 'baik']",cukup baik,1
307768,2025-09-18 06:08:00,"Saran saya berikan peneningkatan interaksi secara tatap muka karena banyaknya kendala terkait online pengarahan, Informasi yang detail, perbaiki masalah kendala online yang ada.",positif,2025-09-18,6,Thursday,"Saran saya berikan peneningkatan interaksi secara tatap muka karena banyaknya kendala terkait online pengarahan, Informasi yang detail, perbaiki masalah kendala online yang ada.",saran saya berikan peneningkatan interaksi secara tatap muka karena banyaknya kendala terkait online pengarahan informasi yang detail perbaiki masalah kendala online yang ada,"['saran', 'saya', 'berikan', 'peneningkatan', 'interaksi', 'secara', 'tatap', 'muka', 'karena', 'banyaknya', 'kendala', 'terkait', 'online', 'pengarahan', 'informasi', 'yang', 'detail', 'perbaiki', 'masalah', 'kendala', 'online', 'yang', 'ada']","['saran', 'berikan', 'peneningkatan', 'interaksi', 'tatap', 'muka', 'banyaknya', 'kendala', 'terkait', 'online', 'pengarahan', 'informasi', 'detail', 'perbaiki', 'masalah', 'kendala', 'online']","['saran', 'ikan', 'peneningkatan', 'interaksi', 'tatap', 'muka', 'banyak', 'kendala', 'kait', 'online', 'arah', 'informasi', 'detail', 'baik', 'masalah', 'kendala', 'online']",saran ikan peneningkatan interaksi tatap muka banyak kendala kait online arah informasi detail baik masalah kendala online,1
319410,2025-09-19 08:56:00,"Pakaian dan Atribut Wajib  -Pria: Kemeja putih lengan panjang, dasi hitam, celana kain hitam, ikat pinggang hitam, dan sepatu hitam.  - Wanita Berhijab: Kemeja putih lengan panjang, dasi hitam, rok kain hitam (tidak ketat), kerudung segi empat hitam polos, dan sepatu hitam.  - Ketentuan Tambahan: Tidak diperkenankan menggunakan pakaian berbahan jeans. Selama sesi online, Anda diwajibkan menggunakan virtual background yang sudah ditentukan dan mengaktifkan kamera (on camera).",positif,2025-09-19,8,Friday,"Pakaian dan Atribut Wajib -Pria: Kemeja putih lengan panjang, dasi hitam, celana kain hitam, ikat pinggang hitam, dan sepatu hitam. - Wanita Berhijab: Kemeja putih lengan panjang, dasi hitam, rok kain hitam (tidak ketat), kerudung segi empat hitam polos, dan sepatu hitam. - Ketentuan Tambahan: Tidak diperkenankan menggunakan pakaian berbahan jeans. Selama sesi online, Anda diwajibkan menggunakan virtual background yang sudah ditentukan dan mengaktifkan kamera (on camera).",pakaian dan atribut wajib pria kemeja putih lengan panjang dasi hitam celana kain hitam ikat pinggang hitam dan sepatu hitam  wanita berhijab kemeja putih lengan panjang dasi hitam rok kain hitam tidak ketat kerudung segi empat hitam polos dan sepatu hitam  ketentuan tambahan tidak diperkenankan menggunakan pakaian berbahan jeans selama sesi online anda diwajibkan menggunakan virtual background yang sudah ditentukan dan mengaktifkan kamera on camera,"['pakaian', 'dan', 'atribut', 'wajib', 'pria', 'kemeja', 'putih', 'lengan', 'panjang', 'dasi', 'hitam', 'celana', 'kain', 'hitam', 'ikat', 'pinggang', 'hitam', 'dan', 'sepatu', 'hitam', 'wanita', 'berhijab', 'kemeja', 'putih', 'lengan', 'panjang', 'dasi', 'hitam', 'rok', 'kain', 'hitam', 'tidak', 'ketat', 'kerudung', 'segi', 'empat', 'hitam', 'polos', 'dan', 'sepatu', 'hitam', 'ketentuan', 'tambahan', 'tidak', 'diperkenankan', 'menggunakan', 'pakaian', 'berbahan', 'jeans', 'selama', 'sesi', 'online', 'anda', 'diwajibkan', 'menggunakan', 'virtual', 'background', 'yang', 'sudah', 'ditentukan', 'dan', 'mengaktifkan', 'kamera', 'on', 'camera']","['pakaian', 'atribut', 'wajib', 'pria', 'kemeja', 'putih', 'lengan', 'panjang', 'dasi', 'hitam', 'celana', 'kain', 'hitam', 'ikat', 'pinggang', 'hitam', 'sepatu', 'hitam', 'wanita', 'berhijab', 'kemeja', 'putih', 'lengan', 'panjang', 'dasi', 'hitam', 'rok', 'kain', 'hitam', 'tidak', 'ketat', 'kerudung', 'segi', 'empat', 'hitam', 'polos', 'sepatu', 'hitam', 'ketentuan', 'tambahan', 'tidak', 'diperkenankan', 'menggunakan', 'pakaian', 'berbahan', 'jeans', 'selama', 'sesi', 'online', 'diwajibkan', 'menggunakan', 'virtual', 'background', 'ditentukan', 'mengaktifkan', 'kamera', 'on', 'camera']","['pakai', 'atribut', 'wajib', 'pria', 'kemeja', 'putih', 'lengan', 'panjang', 'dasi', 'hitam', 'celana', 'kain', 'hitam', 'ikat', 'pinggang', 'hitam', 'sepatu', 'hitam', 'wanita', 'hijab', 'kemeja', 'putih', 'lengan', 'panjang', 'dasi', 'hitam', 'rok', 'kain', 'hitam', 'tidak', 'ketat', 'kerudung', 'segi', 'empat', 'hitam', 'polos', 'sepatu', 'hitam', 'tentu', 'tambah', 'tidak', 'kenan', 'guna', 'pakai', 'bahan', 'jeans', 'lama', 'sesi', 'online', 'wajib', 'guna', 'virtual', 'background', 'tentu', 'aktif', 'kamera', 'on', 'camera']",pakai atribut wajib pria kemeja putih lengan panjang dasi hitam celana kain hitam ikat pinggang hitam sepatu hitam wanita hijab kemeja putih lengan panjang dasi hitam rok kain hitam tidak ketat kerudung segi empat hitam polos sepatu hitam tentu tambah tidak kenan guna pakai bahan jeans lama sesi online wajib guna virtual background tentu aktif kamera on camera,1
326604,2025-09-19 20:26:00,situs web lambat,negatif,2025-09-19,20,Friday,situs web lambat,situs web lambat,"['situs', 'web', 'lambat']","['situs', 'web', 'lambat']","['situs', 'web', 'lambat']",situs web lambat,-1
322356,2025-09-19 14:19:00,"Mungkin untuk karena saya semester 8, untuk maba maba baru yg belum merasakan problem dalam di pertengahan perjalan kuliah di unpam, lebih di maksimalkan lagi menjemennya. terutama untuk layanan administrasi. ",positif,2025-09-19,14,Friday,"Mungkin untuk karena saya semester 8, untuk maba maba baru yang belum merasakan problem dalam di pertengahan perjalan kuliah di unpam, lebih di maksimalkan lagi menjemennya. terutama untuk layanan administrasi.",mungkin untuk karena saya semester  untuk maba maba baru yang belum merasakan problem dalam di pertengahan perjalan kuliah di unpam lebih di maksimalkan lagi menjemennya terutama untuk layanan administrasi,"['mungkin', 'untuk', 'karena', 'saya', 'semester', 'untuk', 'maba', 'maba', 'baru', 'yang', 'belum', 'merasakan', 'problem', 'dalam', 'di', 'pertengahan', 'perjalan', 'kuliah', 'di', 'unpam', 'lebih', 'di', 'maksimalkan', 'lagi', 'menjemennya', 'terutama', 'untuk', 'layanan', 'administrasi']","['mungkin', 'semester', 'maba', 'maba', 'baru', 'merasakan', 'problem', 'pertengahan', 'perjalan', 'kuliah', 'unpam', 'lebih', 'maksimalkan', 'menjemennya', 'terutama', 'layanan', 'administrasi']","['mungkin', 'semester', 'maba', 'maba', 'baru', 'rasa', 'problem', 'tengah', 'jalan', 'kuliah', 'unpam', 'lebih', 'maksimal', 'menjemennya', 'utama', 'layan', 'administrasi']",mungkin semester maba maba baru rasa problem tengah jalan kuliah unpam lebih maksimal menjemennya utama layan administrasi,1
299018,2025-09-16 17:51:00,"PKKMB membantu beradaptasi dengan lingkungan kampus, dosen, serta sesama mahasiswa baru agar lebih cepat akrab.",positif,2025-09-16,17,Tuesday,"PKKMB membantu beradaptasi dengan lingkungan kampus, dosen, serta sesama mahasiswa baru agar lebih cepat akrab.",pkkmb membantu beradaptasi dengan lingkungan kampus dosen serta sesama mahasiswa baru agar lebih cepat akrab,"['pkkmb', 'membantu', 'beradaptasi', 'dengan', 'lingkungan', 'kampus', 'dosen', 'serta', 'sesama', 'mahasiswa', 'baru', 'agar', 'lebih', 'cepat', 'akrab']","['pkkmb', 'membantu', 'beradaptasi', 'lingkungan', 'kampus', 'dosen', 'sesama', 'mahasiswa', 'baru', 'lebih', 'cepat', 'akrab']","['pkkmb', 'bantu', 'adaptasi', 'lingkung', 'kampus', 'dosen', 'sama', 'mahasiswa', 'baru', 'lebih', 'cepat', 'akrab']",pkkmb bantu adaptasi lingkung kampus dosen sama mahasiswa baru lebih cepat akrab,1
284772,2025-09-12 19:56:00,"Keren sebenarnya, tinggal tambahin lagi pemateri yang bisa membangkitkan semangat mahasiswa untuk berprestasi",positif,2025-09-12,19,Friday,"Keren sebenarnya, tinggal tambahkan lagi pemateri yang bisa membangkitkan semangat mahasiswa untuk berprestasi",keren sebenarnya tinggal tambahkan lagi pemateri yang bisa membangkitkan semangat mahasiswa untuk berprestasi,"['keren', 'sebenarnya', 'tinggal', 'tambahkan', 'lagi', 'pemateri', 'yang', 'bisa', 'membangkitkan', 'semangat', 'mahasiswa', 'untuk', 'berprestasi']","['keren', 'sebenarnya', 'tinggal', 'tambahkan', 'pemateri', 'membangkitkan', 'semangat', 'mahasiswa', 'berprestasi']","['keren', 'benar', 'tinggal', 'tambah', 'materi', 'bangkit', 'semangat', 'mahasiswa', 'prestasi']",keren benar tinggal tambah materi bangkit semangat mahasiswa prestasi,1
